DateRep,CountryExp,CountryCode,ConfCases
2022-05-26,Estonia,EE,0
2022-05-26,Finland,FI,0
2022-05-26,France,FR,2
2022-05-26,Germany,DE,3
2022-05-26,Greece,EL,0
2022-05-26,Hungary,HU,1
2022-05-26,Iceland,IS,0
2022-05-26,Ireland,IE,0
2022-05-26,Italy,IT,0
2022-05-26,Latvia,LV,0
2022-05-26,Lithuania,LT,0
2022-05-26,Luxembourg,LU,0
2022-05-26,Malta,MT,0
2022-05-26,Netherlands,NL,4
2022-05-26,Norway,NO,0
2022-05-26,Poland,PL,0
2022-05-26,Portugal,PT,21
2022-05-26,Romania,RO,0
2022-05-26,Slovakia,SK,0
2022-05-26,Slovenia,SI,1
2022-05-26,Spain,ES,13
2022-05-26,Sweden,SE,0
2022-05-27,Austria,AT,0
2022-05-27,Belgium,BE,4
2022-05-27,Bulgaria,BG,0
2022-05-27,Croatia,HR,0
2022-05-27,Cyprus,CY,0
2022-05-27,Czechia,CZ,0
2022-05-27,Denmark,DK,0
2022-05-27,Estonia,EE,0
2022-05-27,Finland,FI,0
2022-05-27,France,FR,2
2022-05-27,Germany,DE,5
2022-05-27,Greece,EL,0
2022-05-27,Hungary,HU,1
2022-05-27,Iceland,IS,0
2022-05-27,Ireland,IE,0
2022-05-27,Italy,IT,4
2022-05-27,Latvia,LV,0
2022-05-27,Lithuania,LT,0
2022-05-27,Luxembourg,LU,0
2022-05-27,Malta,MT,0
2022-05-27,Netherlands,NL,2
2022-05-27,Norway,NO,0
2022-05-27,Poland,PL,0
2022-05-27,Portugal,PT,16
2022-05-27,Romania,RO,0
2022-05-27,Slovakia,SK,0
2022-05-27,Slovenia,SI,0
2022-05-27,Spain,ES,25
2022-05-27,Sweden,SE,0
2022-05-28,Austria,AT,0
2022-05-28,Belgium,BE,0
2022-05-28,Bulgaria,BG,0
2022-05-28,Croatia,HR,0
2022-05-28,Cyprus,CY,0
2022-05-28,Czechia,CZ,0
2022-05-28,Denmark,DK,0
2022-05-28,Estonia,EE,0
2022-05-28,Finland,FI,0
2022-05-28,France,FR,2
2022-05-28,Germany,DE,0
2022-05-28,Greece,EL,0
2022-05-28,Hungary,HU,0
2022-05-28,Iceland,IS,0
2022-05-28,Ireland,IE,0
2022-05-28,Italy,IT,0
2022-05-28,Latvia,LV,0
2022-05-28,Lithuania,LT,0
2022-05-28,Luxembourg,LU,0
2022-05-28,Malta,MT,0
2022-05-28,Netherlands,NL,3
2022-05-28,Norway,NO,0
2022-05-28,Poland,PL,0
2022-05-28,Portugal,PT,26
2022-05-28,Romania,RO,0
2022-05-28,Slovakia,SK,0
2022-05-28,Slovenia,SI,0
2022-05-28,Spain,ES,9
2022-05-28,Sweden,SE,0
2022-05-29,Austria,AT,0
2022-05-29,Belgium,BE,0
2022-05-29,Bulgaria,BG,0
2022-05-29,Croatia,HR,0
2022-05-29,Cyprus,CY,0
2022-05-29,Czechia,CZ,0
2022-05-29,Denmark,DK,2
2022-05-29,Estonia,EE,0
2022-05-29,Finland,FI,0
2022-05-29,France,FR,4
2022-05-29,Germany,DE,2
2022-05-29,Greece,EL,0
2022-05-29,Hungary,HU,1
2022-05-29,Iceland,IS,0
2022-05-29,Ireland,IE,0
2022-05-29,Italy,IT,1
2022-05-29,Latvia,LV,0
2022-05-29,Lithuania,LT,0
2022-05-29,Luxembourg,LU,0
2022-05-29,Malta,MT,0
2022-05-29,Netherlands,NL,2
2022-05-29,Norway,NO,0
2022-05-29,Poland,PL,0
2022-05-29,Portugal,PT,0
2022-05-29,Romania,RO,0
2022-05-29,Slovakia,SK,0
2022-05-29,Slovenia,SI,0
2022-05-29,Spain,ES,9
2022-05-29,Sweden,SE,0
2022-05-30,Austria,AT,0
2022-05-30,Belgium,BE,1
2022-05-30,Bulgaria,BG,0
2022-05-30,Croatia,HR,0
2022-05-30,Cyprus,CY,0
2022-05-30,Czechia,CZ,1
2022-05-30,Denmark,DK,0
2022-05-30,Estonia,EE,0
2022-05-30,Finland,FI,0
2022-05-30,France,FR,1
2022-05-30,Germany,DE,14
2022-05-30,Greece,EL,0
2022-05-30,Hungary,HU,0
2022-05-30,Iceland,IS,0
2022-05-30,Ireland,IE,0
2022-05-30,Italy,IT,5
2022-05-30,Latvia,LV,0
2022-05-30,Lithuania,LT,0
2022-05-30,Luxembourg,LU,0
2022-05-30,Malta,MT,0
2022-05-30,Netherlands,NL,5
2022-05-30,Norway,NO,1
2022-05-30,Poland,PL,0
2022-05-30,Portugal,PT,22
2022-05-30,Romania,RO,0
2022-05-30,Slovakia,SK,0
2022-05-30,Slovenia,SI,0
2022-05-30,Spain,ES,25
2022-05-30,Sweden,SE,0
2022-05-31,Austria,AT,0
2022-05-31,Belgium,BE,2
2022-05-31,Bulgaria,BG,0
2022-05-31,Croatia,HR,0
2022-05-31,Cyprus,CY,0
2022-05-31,Czechia,CZ,0
2022-05-31,Denmark,DK,0
2022-05-31,Estonia,EE,0
2022-05-31,Finland,FI,1
2022-05-31,France,FR,8
2022-05-31,Germany,DE,9
2022-05-31,Greece,EL,0
2022-05-31,Hungary,HU,0
2022-05-31,Iceland,IS,0
2022-05-31,Ireland,IE,2
2022-05-31,Italy,IT,1
2022-05-31,Latvia,LV,0
2022-05-31,Lithuania,LT,0
2022-05-31,Luxembourg,LU,0
2022-05-31,Malta,MT,0
2022-05-31,Netherlands,NL,3
2022-05-31,Norway,NO,1
2022-05-31,Poland,PL,1
2022-05-31,Portugal,PT,4
2022-05-31,Romania,RO,0
2022-05-31,Slovakia,SK,0
2022-05-31,Slovenia,SI,0
2022-05-31,Spain,ES,26
2022-05-31,Sweden,SE,1
2022-06-01,Austria,AT,0
2022-06-01,Belgium,BE,3
2022-06-01,Bulgaria,BG,0
2022-06-01,Croatia,HR,0
2022-06-01,Cyprus,CY,0
2022-06-01,Czechia,CZ,1
2022-06-01,Denmark,DK,0
2022-06-01,Estonia,EE,0
2022-06-01,Finland,FI,0
2022-06-01,France,FR,10
2022-06-01,Germany,DE,12
2022-06-01,Greece,EL,0
2022-06-01,Hungary,HU,0
2022-06-01,Iceland,IS,0
2022-06-01,Ireland,IE,2
2022-06-01,Italy,IT,0
2022-06-01,Latvia,LV,0
2022-06-01,Lithuania,LT,0
2022-06-01,Luxembourg,LU,0
2022-06-01,Malta,MT,0
2022-06-01,Netherlands,NL,3
2022-06-01,Norway,NO,0
2022-06-01,Poland,PL,0
2022-06-01,Portugal,PT,19
2022-06-01,Romania,RO,0
2022-06-01,Slovakia,SK,0
2022-06-01,Slovenia,SI,1
2022-06-01,Spain,ES,29
2022-06-01,Sweden,SE,1
2022-06-02,Austria,AT,0
2022-06-02,Belgium,BE,3
2022-06-02,Bulgaria,BG,0
2022-06-02,Croatia,HR,0
2022-06-02,Cyprus,CY,0
2022-06-02,Czechia,CZ,0
2022-06-02,Denmark,DK,0
2022-06-02,Estonia,EE,0
2022-06-02,Finland,FI,0
2022-06-02,France,FR,13
2022-06-02,Germany,DE,11
2022-06-02,Greece,EL,0
2022-06-02,Hungary,HU,0
2022-06-02,Iceland,IS,0
2022-06-02,Ireland,IE,2
2022-06-02,Italy,IT,0
2022-06-02,Latvia,LV,0
2022-06-02,Lithuania,LT,0
2022-06-02,Luxembourg,LU,0
2022-06-02,Malta,MT,0
2022-06-02,Netherlands,NL,5
2022-06-02,Norway,NO,0
2022-06-02,Poland,PL,0
2022-06-02,Portugal,PT,19
2022-06-02,Romania,RO,0
2022-06-02,Slovakia,SK,0
2022-06-02,Slovenia,SI,3
2022-06-02,Spain,ES,22
2022-06-02,Sweden,SE,1
2022-06-03,Austria,AT,0
2022-06-03,Belgium,BE,3
2022-06-03,Bulgaria,BG,0
2022-06-03,Croatia,HR,0
2022-06-03,Cyprus,CY,0
2022-06-03,Czechia,CZ,4
2022-06-03,Denmark,DK,1
2022-06-03,Estonia,EE,0
2022-06-03,Finland,FI,0
2022-06-03,France,FR,7
2022-06-03,Germany,DE,15
2022-06-03,Greece,EL,0
2022-06-03,Hungary,HU,0
2022-06-03,Iceland,IS,0
2022-06-03,Ireland,IE,1
2022-06-03,Italy,IT,1
2022-06-03,Latvia,LV,0
2022-06-03,Lithuania,LT,0
2022-06-03,Luxembourg,LU,0
2022-06-03,Malta,MT,0
2022-06-03,Netherlands,NL,4
2022-06-03,Norway,NO,0
2022-06-03,Poland,PL,0
2022-06-03,Portugal,PT,5
