eventId,eventNumber,eventName_sv,eventName_en,eventDate,eventTime,eventTimestamp,eventHasFaceToFace,filmId,partyId,venueId,venueName,eventTicketStatus,eventBuyURL,eventBuyOneTimeURL,eventModifiedTimestamp
8074,402,Friedkin Uncut ,Friedkin Uncut ,2018-11-10,10:45:00,1541843100,false,12493,NA,8,Sture 3,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8074,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8074,1541514867
8075,403,När fjärilarna kommer,Butterflies,2018-11-10,11:00:00,1541844000,false,12407,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8075,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8075,1541529703
8076,404,Afghan Cycles,Afghan Cycles,2018-11-10,11:15:00,1541844900,false,12490,NA,7,Sture 2,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8076,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8076,1541531863
8077,405,Asako I&II,Asako I&II,2018-11-10,12:00:00,1541847600,false,12436,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8077,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8077,1541444931
8078,406,Lizzie,Lizzie,2018-11-10,12:45:00,1541850300,false,12457,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8078,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8078,1541545518
8079,407,Diamantino,Diamantino,2018-11-10,12:45:00,1541850300,false,12399,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8079,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8079,1541549647
8080,408,The Cannibal Club,The Cannibal Club,2018-11-10,13:00:00,1541851200,false,12475,NA,7,Sture 2,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8080,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8080,1541536469
8081,409,Vision,Vision,2018-11-10,13:15:00,1541852100,false,12466,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8081,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8081,1541563827
8082,410,The Fall of the American Empire,The Fall of the American Empire,2018-11-10,14:15:00,1541855700,false,12452,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8082,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8082,1541514867
8083,411,Det vildväxande päronträdet,The Wild Pear Tree,2018-11-10,14:30:00,1541856600,false,12440,NA,32,Bio Rio,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8083,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8083,1541537506
8084,412,Blaze ,Blaze,2018-11-10,14:45:00,1541857500,false,12383,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8084,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8084,1541546314
8085,413,Of Fathers and Sons,Of Fathers and Sons,2018-11-10,14:45:00,1541857500,false,12496,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8085,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8085,1541540901
8086,414,The World is Yours,The World is Yours,2018-11-10,15:00:00,1541858400,false,12465,NA,7,Sture 2,soldout,NA,NA,1541331485
8087,415,Chelas arv,The Heiresses,2018-11-10,15:15:00,1541859300,true,12398,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8087,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8087,1541540666
