Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Betyg per ämne årskurs 6
Valt läsår: 2018/19

;;;;;;Antal elever;Antal elever;Antal elever;Andel (%) med A-E;Andel (%) med A-E;Andel (%) med A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Gnosjö;0617;Jönköpings län;06;Kommunal;Bild;108;56;52;~100;100,0;~100;13,3;14,3;12,1;
Gotland;0980;Gotlands län;09;Samtliga;Bild;596;298;298;98,3;~100;..;14,1;15,4;12,8;
Gotland;0980;Gotlands län;09;Kommunal;Bild;553;273;280;98,2;~100;..;14,0;15,3;12,8;
Gotland;0980;Gotlands län;09;Enskild;Bild;43;25;18;100,0;100,0;100,0;15,3;16,6;13,5;
Grums;1764;Värmlands län;17;Samtliga;Bild;101;56;45;91,1;~100;..;11,3;12,4;9,9;
Grums;1764;Värmlands län;17;Kommunal;Bild;91;50;41;91,2;~100;..;11,0;12,1;9,6;
Grums;1764;Värmlands län;17;Enskild;Bild;10;..;..;..;..;..;..;..;..;
Grästorp;1444;Västra Götalands län;14;Samtliga;Bild;64;28;36;~100;100,0;~100;13,5;15,0;12,4;
Grästorp;1444;Västra Götalands län;14;Kommunal;Bild;64;28;36;~100;100,0;~100;13,5;15,0;12,4;
Gullspång;1447;Västra Götalands län;14;Samtliga;Bild;49;19;30;~100;~100;100,0;12,6;13,6;12,0;
Gullspång;1447;Västra Götalands län;14;Kommunal;Bild;49;19;30;~100;~100;100,0;12,6;13,6;12,0;
Gällivare;2523;Norrbottens län;25;Statlig;Bild;..;..;..;..;..;..;..;..;..;
Gällivare;2523;Norrbottens län;25;Samtliga;Bild;177;85;92;~100;100,0;~100;14,3;15,4;13,2;
Gällivare;2523;Norrbottens län;25;Kommunal;Bild;149;73;76;~100;100,0;~100;14,2;15,0;13,3;
Gällivare;2523;Norrbottens län;25;Enskild;Bild;24;..;..;100,0;..;100,0;14,3;..;12,3;
Gävle;2180;Gävleborgs län;21;Samtliga;Bild;1 154;566;588;97,5;98,4;96,6;13,7;15,1;12,4;
Gävle;2180;Gävleborgs län;21;Kommunal;Bild;791;370;421;97,1;98,1;96,2;13,4;14,9;12,2;
Gävle;2180;Gävleborgs län;21;Enskild;Bild;363;196;167;98,3;~100;~100;14,4;15,5;13,0;
Göteborg;1480;Västra Götalands län;14;Samtliga;Bild;5 641;2 770;2 871;96,2;97,5;94,8;13,8;15,0;12,6;
Göteborg;1480;Västra Götalands län;14;Kommunal;Bild;4 124;1 991;2 133;95,4;96,9;94,0;13,5;14,8;12,3;
Göteborg;1480;Västra Götalands län;14;Enskild;Bild;1 517;779;738;98,2;99,1;97,3;14,5;15,8;13,2;
Götene;1471;Västra Götalands län;14;Samtliga;Bild;129;61;68;~100;100,0;~100;14,3;15,9;12,9;
Götene;1471;Västra Götalands län;14;Kommunal;Bild;129;61;68;~100;100,0;~100;14,3;15,9;12,9;
Habo;0643;Jönköpings län;06;Samtliga;Bild;193;106;87;~100;100,0;~100;14,0;15,5;12,2;
Habo;0643;Jönköpings län;06;Kommunal;Bild;193;106;87;~100;100,0;~100;14,0;15,5;12,2;
Hagfors;1783;Värmlands län;17;Samtliga;Bild;93;42;51;~100;~100;~100;12,7;13,5;12,0;
Hagfors;1783;Värmlands län;17;Kommunal;Bild;93;42;51;~100;~100;~100;12,7;13,5;12,0;
Hallsberg;1861;Örebro län;18;Samtliga;Bild;198;88;110;96,0;~100;..;12,6;14,0;11,4;
Hallsberg;1861;Örebro län;18;Kommunal;Bild;198;88;110;96,0;~100;..;12,6;14,0;11,4;
Hallstahammar;1961;Västmanlands län;19;Samtliga;Bild;164;79;85;~100;~100;100,0;14,3;16,0;12,9;
Hallstahammar;1961;Västmanlands län;19;Kommunal;Bild;164;79;85;~100;~100;100,0;14,3;16,0;12,9;
Halmstad;1380;Hallands län;13;Samtliga;Bild;1 138;556;582;93,4;96,8;90,2;13,1;14,8;11,5;
Halmstad;1380;Hallands län;13;Kommunal;Bild;974;489;485;92,5;96,3;88,7;13,0;14,7;11,3;
Halmstad;1380;Hallands län;13;Enskild;Bild;164;67;97;~100;100,0;~100;13,8;15,1;12,8;
Hammarö;1761;Värmlands län;17;Samtliga;Bild;199;92;107;~100;~100;100,0;14,6;16,2;13,2;
Hammarö;1761;Värmlands län;17;Kommunal;Bild;199;92;107;~100;~100;100,0;14,6;16,2;13,2;
Haninge;0136;Stockholms län;01;Samtliga;Bild;870;409;461;97,2;97,6;97,0;13,0;14,3;11,9;
Haninge;0136;Stockholms län;01;Kommunal;Bild;773;359;414;97,3;97,5;97,1;12,8;14,1;11,6;
Haninge;0136;Stockholms län;01;Enskild;Bild;97;50;47;~100;~100;~100;14,9;15,8;13,8;
Haparanda;2583;Norrbottens län;25;Samtliga;Bild;113;60;53;~100;100,0;~100;14,4;15,5;13,1;
Haparanda;2583;Norrbottens län;25;Kommunal;Bild;109;59;50;~100;100,0;~100;14,5;15,6;13,1;
Haparanda;2583;Norrbottens län;25;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Heby;0331;Uppsala län;03;Samtliga;Bild;116;48;68;~100;100,0;~100;12,8;14,7;11,3;
Heby;0331;Uppsala län;03;Kommunal;Bild;111;46;65;~100;100,0;~100;12,7;14,8;11,1;
Heby;0331;Uppsala län;03;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Hedemora;2083;Dalarnas län;20;Samtliga;Bild;175;94;81;97,1;100,0;93,8;12,9;14,4;11,0;
Hedemora;2083;Dalarnas län;20;Kommunal;Bild;138;73;65;~100;100,0;~100;13,0;14,5;11,3;
Hedemora;2083;Dalarnas län;20;Enskild;Bild;37;21;16;~100;100,0;~100;12,4;14,3;9,8;
Helsingborg;1283;Skåne län;12;Samtliga;Bild;1 665;796;869;96,8;98,2;95,5;13,6;15,0;12,3;
Helsingborg;1283;Skåne län;12;Kommunal;Bild;1 212;554;658;96,6;98,2;95,3;13,4;14,9;12,1;
Helsingborg;1283;Skåne län;12;Enskild;Bild;453;242;211;97,4;~100;..;14,2;15,2;13,1;
Herrljunga;1466;Västra Götalands län;14;Samtliga;Bild;98;60;38;~100;100,0;~100;13,6;15,0;11,4;
Herrljunga;1466;Västra Götalands län;14;Kommunal;Bild;98;60;38;~100;100,0;~100;13,6;15,0;11,4;
Hjo;1497;Västra Götalands län;14;Samtliga;Bild;90;33;57;~100;100,0;~100;13,5;16,4;11,8;
Hjo;1497;Västra Götalands län;14;Kommunal;Bild;90;33;57;~100;100,0;~100;13,5;16,4;11,8;
Hofors;2104;Gävleborgs län;21;Samtliga;Bild;111;53;58;~100;~100;~100;13,0;14,6;11,5;
Hofors;2104;Gävleborgs län;21;Kommunal;Bild;111;53;58;~100;~100;~100;13,0;14,6;11,5;
Huddinge;0126;Stockholms län;01;Samtliga;Bild;1 451;679;772;97,9;98,2;97,5;13,8;15,2;12,6;
Huddinge;0126;Stockholms län;01;Kommunal;Bild;1 058;492;566;97,3;97,8;96,8;13,3;14,7;12,1;
Huddinge;0126;Stockholms län;01;Enskild;Bild;393;187;206;~100;~100;~100;15,3;16,7;14,0;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;Bild;469;223;246;~100;100,0;~100;13,6;14,8;12,4;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;Bild;409;193;216;~100;100,0;~100;13,4;14,7;12,2;
Hudiksvall;2184;Gävleborgs län;21;Enskild;Bild;60;30;30;100,0;100,0;100,0;14,8;15,8;13,7;
Hultsfred;0860;Kalmar län;08;Samtliga;Bild;133;69;64;93,2;~100;..;12,7;13,3;12,1;
Hultsfred;0860;Kalmar län;08;Kommunal;Bild;116;58;58;93,1;~100;~100;12,7;13,2;12,3;
Hultsfred;0860;Kalmar län;08;Enskild;Bild;17;..;..;~100;100,0;..;12,8;14,1;..;
Hylte;1315;Hallands län;13;Samtliga;Bild;171;95;76;~100;~100;~100;13,0;14,5;11,3;
Hylte;1315;Hallands län;13;Kommunal;Bild;159;90;69;~100;~100;~100;13,0;14,5;11,1;
Hylte;1315;Hallands län;13;Enskild;Bild;12;..;..;100,0;..;..;13,5;..;..;
Håbo;0305;Uppsala län;03;Samtliga;Bild;331;154;177;~100;~100;~100;13,5;14,7;12,4;
Håbo;0305;Uppsala län;03;Kommunal;Bild;277;134;143;~100;~100;~100;13,3;14,5;12,2;
Håbo;0305;Uppsala län;03;Enskild;Bild;54;20;34;100,0;100,0;100,0;14,5;16,5;13,3;
