Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Betyg per ämne årskurs 6
Valt läsår: 2018/19

;;;;;;Antal elever;Antal elever;Antal elever;Andel (%) med A-E;Andel (%) med A-E;Andel (%) med A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Jokkmokk;2510;Norrbottens län;25;Kommunal;Bild;35;22;13;100,0;100,0;100,0;15,6;16,6;14,0;
Jokkmokk;2510;Norrbottens län;25;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Järfälla;0123;Stockholms län;01;Samtliga;Bild;881;387;494;96,3;96,6;96,0;13,6;15,0;12,6;
Järfälla;0123;Stockholms län;01;Kommunal;Bild;707;321;386;95,9;96,6;95,3;13,4;14,8;12,2;
Järfälla;0123;Stockholms län;01;Enskild;Bild;174;66;108;~100;~100;~100;14,8;16,1;14,0;
Jönköping;0680;Jönköpings län;06;Samtliga;Bild;1 609;813;796;97,9;98,6;97,2;13,8;15,3;12,4;
Jönköping;0680;Jönköpings län;06;Kommunal;Bild;1 386;707;679;98,0;98,7;97,2;13,7;15,2;12,2;
Jönköping;0680;Jönköpings län;06;Enskild;Bild;223;106;117;97,8;~100;~100;14,5;15,7;13,3;
Kalix;2514;Norrbottens län;25;Samtliga;Bild;173;80;93;~100;100,0;~100;13,6;14,8;12,6;
Kalix;2514;Norrbottens län;25;Kommunal;Bild;155;73;82;~100;100,0;~100;13,7;14,9;12,7;
Kalix;2514;Norrbottens län;25;Enskild;Bild;18;..;..;100,0;..;100,0;12,8;..;12,3;
Kalmar;0880;Kalmar län;08;Samtliga;Bild;738;362;376;98,8;~100;..;14,5;16,0;13,0;
Kalmar;0880;Kalmar län;08;Kommunal;Bild;687;331;356;98,8;~100;..;14,6;16,1;13,2;
Kalmar;0880;Kalmar län;08;Enskild;Bild;51;31;20;~100;100,0;~100;13,6;15,3;11,0;
Karlsborg;1446;Västra Götalands län;14;Samtliga;Bild;77;33;44;93,5;~100;~100;11,8;12,9;10,9;
Karlsborg;1446;Västra Götalands län;14;Kommunal;Bild;62;26;36;~100;~100;~100;12,0;13,1;11,2;
Karlsborg;1446;Västra Götalands län;14;Enskild;Bild;15;..;..;~100;..;..;10,8;..;..;
Karlshamn;1082;Blekinge län;10;Samtliga;Bild;342;162;180;96,5;~100;..;13,4;15,1;11,9;
Karlshamn;1082;Blekinge län;10;Kommunal;Bild;323;149;174;96,3;~100;..;13,3;15,0;11,8;
Karlshamn;1082;Blekinge län;10;Enskild;Bild;19;..;..;100,0;100,0;..;15,3;16,3;..;
Karlskoga;1883;Örebro län;18;Samtliga;Bild;371;174;197;96,2;~100;..;12,8;14,6;11,2;
Karlskoga;1883;Örebro län;18;Kommunal;Bild;351;162;189;96,0;~100;..;12,7;14,5;11,2;
Karlskoga;1883;Örebro län;18;Enskild;Bild;20;..;..;100,0;100,0;..;14,5;16,0;..;
Karlskrona;1080;Blekinge län;10;Samtliga;Bild;818;397;421;97,8;98,2;97,4;13,3;14,5;12,1;
Karlskrona;1080;Blekinge län;10;Kommunal;Bild;618;309;309;97,2;98,1;96,4;13,0;14,1;11,8;
Karlskrona;1080;Blekinge län;10;Enskild;Bild;200;88;112;~100;~100;100,0;14,2;15,8;12,9;
Karlstad;1780;Värmlands län;17;Samtliga;Bild;958;456;502;98,5;~100;..;14,3;15,7;12,9;
Karlstad;1780;Värmlands län;17;Kommunal;Bild;798;370;428;98,4;~100;..;13,9;15,3;12,7;
Karlstad;1780;Värmlands län;17;Enskild;Bild;160;86;74;~100;~100;100,0;15,9;17,5;14,1;
Katrineholm;0483;Södermanlands län;04;Samtliga;Bild;398;191;207;98,0;~100;..;14,1;15,4;12,9;
Katrineholm;0483;Södermanlands län;04;Kommunal;Bild;355;172;183;97,7;~100;..;13,9;15,2;12,7;
Katrineholm;0483;Södermanlands län;04;Enskild;Bild;43;19;24;100,0;100,0;100,0;15,4;17,2;14,0;
Kil;1715;Värmlands län;17;Samtliga;Bild;149;73;76;96,0;~100;..;13,4;15,3;11,6;
Kil;1715;Värmlands län;17;Kommunal;Bild;149;73;76;96,0;~100;..;13,4;15,3;11,6;
Kinda;0513;Östergötlands län;05;Samtliga;Bild;127;66;61;96,1;~100;~100;14,0;16,1;11,8;
Kinda;0513;Östergötlands län;05;Kommunal;Bild;127;66;61;96,1;~100;~100;14,0;16,1;11,8;
Kiruna;2584;Norrbottens län;25;Statlig;Bild;20;10;10;100,0;100,0;100,0;14,3;14,8;13,8;
Kiruna;2584;Norrbottens län;25;Samtliga;Bild;272;132;140;96,7;100,0;93,6;13,0;14,5;11,5;
Kiruna;2584;Norrbottens län;25;Kommunal;Bild;226;108;118;96,5;100,0;93,2;12,9;14,5;11,3;
Kiruna;2584;Norrbottens län;25;Enskild;Bild;26;14;12;~100;100,0;~100;12,9;14,3;11,1;
Klippan;1276;Skåne län;12;Samtliga;Bild;205;104;101;96,1;~100;..;12,6;14,1;11,1;
Klippan;1276;Skåne län;12;Kommunal;Bild;189;92;97;95,8;~100;..;12,6;14,2;11,0;
Klippan;1276;Skåne län;12;Enskild;Bild;16;..;..;100,0;100,0;..;13,4;13,8;..;
Knivsta;0330;Uppsala län;03;Samtliga;Bild;273;137;136;97,4;~100;~100;14,2;15,8;12,5;
Knivsta;0330;Uppsala län;03;Kommunal;Bild;252;129;123;97,6;~100;~100;14,2;15,7;12,6;
Knivsta;0330;Uppsala län;03;Enskild;Bild;21;..;..;~100;..;~100;13,8;..;11,5;
Kramfors;2282;Västernorrlands län;22;Samtliga;Bild;191;97;94;96,3;~100;..;12,8;14,6;11,1;
Kramfors;2282;Västernorrlands län;22;Kommunal;Bild;181;91;90;96,7;~100;~100;12,9;14,6;11,1;
Kramfors;2282;Västernorrlands län;22;Enskild;Bild;10;..;..;..;..;..;12,3;..;..;
Kristianstad;1290;Skåne län;12;Samtliga;Bild;1 013;509;504;96,6;98,4;94,8;13,1;14,5;11,6;
Kristianstad;1290;Skåne län;12;Kommunal;Bild;909;453;456;96,3;98,2;94,3;12,8;14,3;11,3;
Kristianstad;1290;Skåne län;12;Enskild;Bild;104;56;48;100,0;100,0;100,0;15,0;15,6;14,4;
Kristinehamn;1781;Värmlands län;17;Samtliga;Bild;259;124;135;95,4;~100;..;13,2;15,2;11,4;
Kristinehamn;1781;Värmlands län;17;Kommunal;Bild;259;124;135;95,4;~100;..;13,2;15,2;11,4;
Krokom;2309;Jämtlands län;23;Samtliga;Bild;225;107;118;~100;100,0;~100;12,5;13,9;11,3;
Krokom;2309;Jämtlands län;23;Kommunal;Bild;225;107;118;~100;100,0;~100;12,5;13,9;11,3;
Kumla;1881;Örebro län;18;Samtliga;Bild;199;107;92;~100;~100;~100;12,6;13,5;11,5;
Kumla;1881;Örebro län;18;Kommunal;Bild;199;107;92;~100;~100;~100;12,6;13,5;11,5;
Kungsbacka;1384;Hallands län;13;Samtliga;Bild;1 243;602;641;97,8;98,7;97,0;13,7;15,1;12,3;
Kungsbacka;1384;Hallands län;13;Kommunal;Bild;1 109;547;562;97,6;98,5;96,6;13,6;15,1;12,1;
Kungsbacka;1384;Hallands län;13;Enskild;Bild;134;55;79;100,0;100,0;100,0;14,4;15,5;13,5;
Kungsör;1960;Västmanlands län;19;Samtliga;Bild;77;35;42;100,0;100,0;100,0;13,6;15,1;12,4;
Kungsör;1960;Västmanlands län;19;Kommunal;Bild;77;35;42;100,0;100,0;100,0;13,6;15,1;12,4;
Kungälv;1482;Västra Götalands län;14;Samtliga;Bild;576;257;319;99,1;~100;~100;14,2;16,0;12,9;
Kungälv;1482;Västra Götalands län;14;Kommunal;Bild;513;227;286;99,0;~100;~100;14,1;15,8;12,8;
Kungälv;1482;Västra Götalands län;14;Enskild;Bild;63;30;33;100,0;100,0;100,0;15,0;17,0;13,3;
Kävlinge;1261;Skåne län;12;Samtliga;Bild;473;223;250;98,7;~100;~100;14,8;16,3;13,6;
Kävlinge;1261;Skåne län;12;Kommunal;Bild;402;184;218;98,5;~100;~100;14,7;16,2;13,5;
Kävlinge;1261;Skåne län;12;Enskild;Bild;71;39;32;100,0;100,0;100,0;15,7;16,7;14,4;
Köping;1983;Västmanlands län;19;Samtliga;Bild;312;172;140;96,8;~100;..;13,6;15,0;11,8;
Köping;1983;Västmanlands län;19;Kommunal;Bild;312;172;140;96,8;~100;..;13,6;15,0;11,8;
Laholm;1381;Hallands län;13;Samtliga;Bild;301;150;151;97,0;~100;..;13,9;15,5;12,3;
Laholm;1381;Hallands län;13;Kommunal;Bild;296;147;149;97,3;~100;..;13,9;15,5;12,3;
Laholm;1381;Hallands län;13;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Landskrona;1282;Skåne län;12;Samtliga;Bild;476;222;254;97,5;~100;..;14,0;15,4;12,8;
Landskrona;1282;Skåne län;12;Kommunal;Bild;329;153;176;96,7;~100;..;13,7;15,1;12,4;
Landskrona;1282;Skåne län;12;Enskild;Bild;147;69;78;~100;100,0;~100;14,8;16,0;13,7;
Laxå;1860;Örebro län;18;Samtliga;Bild;54;26;28;100,0;100,0;100,0;14,0;16,0;12,1;
Laxå;1860;Örebro län;18;Kommunal;Bild;54;26;28;100,0;100,0;100,0;14,0;16,0;12,1;
Lekeberg;1814;Örebro län;18;Samtliga;Bild;86;42;44;~100;100,0;~100;12,7;14,1;11,4;
Lekeberg;1814;Örebro län;18;Kommunal;Bild;86;42;44;~100;100,0;~100;12,7;14,1;11,4;
Leksand;2029;Dalarnas län;20;Samtliga;Bild;155;77;78;~100;~100;100,0;14,0;15,3;12,7;
Leksand;2029;Dalarnas län;20;Kommunal;Bild;124;58;66;~100;~100;100,0;13,9;15,3;12,6;
Leksand;2029;Dalarnas län;20;Enskild;Bild;31;19;12;100,0;100,0;100,0;14,5;15,4;13,1;
Lerum;1441;Västra Götalands län;14;Samtliga;Bild;600;290;310;98,2;100,0;96,5;12,9;14,4;11,5;
Lerum;1441;Västra Götalands län;14;Kommunal;Bild;573;275;298;98,1;100,0;96,3;12,9;14,4;11,5;
Lerum;1441;Västra Götalands län;14;Enskild;Bild;27;15;12;100,0;100,0;100,0;13,5;14,0;12,9;
Lessebo;0761;Kronobergs län;07;Samtliga;Bild;117;55;62;92,3;~100;..;13,3;15,0;11,8;
Lessebo;0761;Kronobergs län;07;Kommunal;Bild;117;55;62;92,3;~100;..;13,3;15,0;11,8;
Lidingö;0186;Stockholms län;01;Samtliga;Bild;632;279;353;98,6;~100;..;15,6;17,1;14,4;
Lidingö;0186;Stockholms län;01;Kommunal;Bild;481;191;290;98,1;~100;..;15,6;17,2;14,5;
Lidingö;0186;Stockholms län;01;Enskild;Bild;151;88;63;100,0;100,0;100,0;15,7;16,8;14,2;
Lidköping;1494;Västra Götalands län;14;Samtliga;Bild;471;239;232;97,2;~100;..;14,1;15,8;12,4;
Lidköping;1494;Västra Götalands län;14;Kommunal;Bild;434;223;211;97,0;~100;..;14,1;15,7;12,4;
Lidköping;1494;Västra Götalands län;14;Enskild;Bild;37;16;21;100,0;100,0;100,0;14,6;16,9;12,9;
Lilla Edet;1462;Västra Götalands län;14;Samtliga;Bild;131;60;71;~100;100,0;~100;13,5;15,3;12,0;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;Bild;119;51;68;~100;100,0;~100;13,3;15,2;11,9;
Lilla Edet;1462;Västra Götalands län;14;Enskild;Bild;12;..;..;100,0;..;..;15,6;..;..;
Lindesberg;1885;Örebro län;18;Samtliga;Bild;259;139;120;94,2;~100;..;13,5;15,3;11,5;
Lindesberg;1885;Örebro län;18;Kommunal;Bild;250;135;115;94,4;~100;..;13,6;15,3;11,7;
Lindesberg;1885;Örebro län;18;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Linköping;0580;Östergötlands län;05;Samtliga;Bild;1 768;834;934;96,9;98,2;95,7;14,1;15,9;12,5;
Linköping;0580;Östergötlands län;05;Kommunal;Bild;1 523;738;785;96,8;98,1;95,5;14,0;15,8;12,4;
Linköping;0580;Östergötlands län;05;Enskild;Bild;245;96;149;97,6;~100;..;14,4;16,1;13,3;
Ljungby;0781;Kronobergs län;07;Samtliga;Bild;314;151;163;~100;~100;~100;13,7;15,3;12,1;
Ljungby;0781;Kronobergs län;07;Kommunal;Bild;293;139;154;~100;~100;~100;13,4;15,1;12,0;
Ljungby;0781;Kronobergs län;07;Enskild;Bild;21;..;..;100,0;100,0;..;16,8;18,5;..;
Ljusdal;2161;Gävleborgs län;21;Samtliga;Bild;213;103;110;96,7;~100;..;13,2;14,8;11,7;
Ljusdal;2161;Gävleborgs län;21;Kommunal;Bild;189;90;99;96,3;~100;..;13,0;14,6;11,5;
Ljusdal;2161;Gävleborgs län;21;Enskild;Bild;24;13;11;100,0;100,0;100,0;14,7;16,2;13,0;
Ljusnarsberg;1864;Örebro län;18;Samtliga;Bild;38;14;24;~100;~100;~100;11,3;11,4;11,2;
Ljusnarsberg;1864;Örebro län;18;Kommunal;Bild;38;14;24;~100;~100;~100;11,3;11,4;11,2;
Lomma;1262;Skåne län;12;Samtliga;Bild;414;205;209;~100;100,0;~100;15,2;16,9;13,6;
Lomma;1262;Skåne län;12;Kommunal;Bild;394;198;196;~100;100,0;~100;15,3;16,9;13,6;
Lomma;1262;Skåne län;12;Enskild;Bild;20;..;..;~100;..;~100;13,7;..;13,3;
Ludvika;2085;Dalarnas län;20;Samtliga;Bild;282;141;141;96,8;~100;..;13,4;14,5;12,3;
Ludvika;2085;Dalarnas län;20;Kommunal;Bild;282;141;141;96,8;~100;..;13,4;14,5;12,3;
Luleå;2580;Norrbottens län;25;Samtliga;Bild;862;430;432;99,4;~100;~100;14,5;16,0;13,0;
Luleå;2580;Norrbottens län;25;Kommunal;Bild;794;401;393;~100;~100;~100;14,5;15,9;12,9;
Luleå;2580;Norrbottens län;25;Enskild;Bild;68;29;39;~100;100,0;~100;14,6;16,6;13,1;
Lund;1281;Skåne län;12;Samtliga;Bild;1 478;706;772;97,8;98,3;97,3;14,6;16,1;13,3;
Lund;1281;Skåne län;12;Kommunal;Bild;1 178;561;617;97,5;98,0;96,9;14,5;16,0;13,1;
Lund;1281;Skåne län;12;Enskild;Bild;300;145;155;~100;~100;~100;15,3;16,5;14,1;
Lycksele;2481;Västerbottens län;24;Samtliga;Bild;141;69;72;~100;~100;~100;12,9;14,6;11,3;
Lycksele;2481;Västerbottens län;24;Kommunal;Bild;141;69;72;~100;~100;~100;12,9;14,6;11,3;
Lysekil;1484;Västra Götalands län;14;Samtliga;Bild;145;76;69;~100;100,0;~100;13,2;14,3;12,1;
Lysekil;1484;Västra Götalands län;14;Kommunal;Bild;145;76;69;~100;100,0;~100;13,2;14,3;12,1;
Malmö;1280;Skåne län;12;Samtliga;Bild;3 329;1 592;1 737;95,8;97,2;94,5;13,7;15,0;12,5;
Malmö;1280;Skåne län;12;Kommunal;Bild;2 829;1 346;1 483;95,4;97,0;94,1;13,5;14,8;12,3;
Malmö;1280;Skåne län;12;Enskild;Bild;500;246;254;98,0;~100;..;15,0;16,4;13,7;
Malung-Sälen;2023;Dalarnas län;20;Samtliga;Bild;117;64;53;100,0;100,0;100,0;13,4;15,0;11,5;
Malung-Sälen;2023;Dalarnas län;20;Kommunal;Bild;117;64;53;100,0;100,0;100,0;13,4;15,0;11,5;
Malå;2418;Västerbottens län;24;Samtliga;Bild;35;19;16;100,0;100,0;100,0;13,6;15,0;11,9;
Malå;2418;Västerbottens län;24;Kommunal;Bild;35;19;16;100,0;100,0;100,0;13,6;15,0;11,9;
Mariestad;1493;Västra Götalands län;14;Samtliga;Bild;250;114;136;97,2;~100;~100;14,0;14,9;13,1;
Mariestad;1493;Västra Götalands län;14;Kommunal;Bild;224;99;125;96,9;~100;~100;13,9;14,9;13,2;
Mariestad;1493;Västra Götalands län;14;Enskild;Bild;26;15;11;100,0;100,0;100,0;14,0;14,8;13,0;
Mark;1463;Västra Götalands län;14;Samtliga;Bild;427;213;214;95,8;96,2;95,3;12,7;13,9;11,6;
Mark;1463;Västra Götalands län;14;Kommunal;Bild;408;203;205;95,6;96,1;95,1;12,6;13,8;11,5;
Mark;1463;Västra Götalands län;14;Enskild;Bild;19;..;..;100,0;100,0;..;14,5;14,3;..;
Markaryd;0767;Kronobergs län;07;Samtliga;Bild;125;56;69;92,8;100,0;87,0;12,2;14,4;10,4;
Markaryd;0767;Kronobergs län;07;Kommunal;Bild;125;56;69;92,8;100,0;87,0;12,2;14,4;10,4;
Mellerud;1461;Västra Götalands län;14;Samtliga;Bild;85;42;43;~100;100,0;~100;12,5;13,8;11,3;
Mellerud;1461;Västra Götalands län;14;Kommunal;Bild;85;42;43;~100;100,0;~100;12,5;13,8;11,3;
Mjölby;0586;Östergötlands län;05;Samtliga;Bild;344;172;172;94,8;96,5;93,0;12,4;14,2;10,7;
Mjölby;0586;Östergötlands län;05;Kommunal;Bild;344;172;172;94,8;96,5;93,0;12,4;14,2;10,7;
Mora;2062;Dalarnas län;20;Samtliga;Bild;237;106;131;96,2;~100;..;13,6;15,0;12,4;
Mora;2062;Dalarnas län;20;Kommunal;Bild;222;101;121;96,4;~100;..;13,4;14,9;12,2;
Mora;2062;Dalarnas län;20;Enskild;Bild;15;..;..;~100;..;..;16,1;..;..;
Motala;0583;Östergötlands län;05;Samtliga;Bild;490;240;250;98,6;~100;..;14,1;15,9;12,4;
Motala;0583;Östergötlands län;05;Kommunal;Bild;468;230;238;98,5;~100;..;14,2;15,9;12,5;
Motala;0583;Östergötlands län;05;Enskild;Bild;22;10;12;100,0;100,0;100,0;13,4;15,0;12,1;
Mullsjö;0642;Jönköpings län;06;Samtliga;Bild;86;49;37;~100;100,0;~100;13,1;14,7;10,9;
Mullsjö;0642;Jönköpings län;06;Kommunal;Bild;86;49;37;~100;100,0;~100;13,1;14,7;10,9;
Munkedal;1430;Västra Götalands län;14;Samtliga;Bild;117;59;58;~100;~100;~100;14,2;16,1;12,3;
Munkedal;1430;Västra Götalands län;14;Kommunal;Bild;117;59;58;~100;~100;~100;14,2;16,1;12,3;
Munkfors;1762;Värmlands län;17;Samtliga;Bild;39;25;14;100,0;100,0;100,0;14,9;16,1;12,7;
Munkfors;1762;Värmlands län;17;Kommunal;Bild;39;25;14;100,0;100,0;100,0;14,9;16,1;12,7;
Mölndal;1481;Västra Götalands län;14;Samtliga;Bild;779;406;373;96,5;98,3;94,6;13,8;15,2;12,3;
Mölndal;1481;Västra Götalands län;14;Kommunal;Bild;730;377;353;96,4;98,1;94,6;13,8;15,2;12,3;
Mölndal;1481;Västra Götalands län;14;Enskild;Bild;49;29;20;~100;100,0;~100;14,6;15,6;13,0;
Mönsterås;0861;Kalmar län;08;Samtliga;Bild;152;83;69;~100;~100;~100;14,0;15,2;12,6;
Mönsterås;0861;Kalmar län;08;Kommunal;Bild;152;83;69;~100;~100;~100;14,0;15,2;12,6;
Mörbylånga;0840;Kalmar län;08;Samtliga;Bild;194;96;98;~100;~100;~100;14,0;15,5;12,6;
Mörbylånga;0840;Kalmar län;08;Kommunal;Bild;194;96;98;~100;~100;~100;14,0;15,5;12,6;
Nacka;0182;Stockholms län;01;Samtliga;Bild;1 399;659;740;98,9;98,9;98,9;15,5;16,9;14,2;
Nacka;0182;Stockholms län;01;Kommunal;Bild;825;352;473;98,7;98,6;98,7;15,1;16,8;13,9;
Nacka;0182;Stockholms län;01;Enskild;Bild;574;307;267;~100;~100;~100;16,0;17,1;14,8;
Nora;1884;Örebro län;18;Samtliga;Bild;125;67;58;~100;~100;~100;13,7;15,2;11,9;
Nora;1884;Örebro län;18;Kommunal;Bild;115;62;53;~100;~100;~100;13,7;15,2;12,0;
Nora;1884;Örebro län;18;Enskild;Bild;10;..;..;100,0;..;..;13,3;..;..;
Norberg;1962;Västmanlands län;19;Samtliga;Bild;66;31;35;~100;~100;~100;13,6;15,0;12,4;
Norberg;1962;Västmanlands län;19;Kommunal;Bild;66;31;35;~100;~100;~100;13,6;15,0;12,4;
Nordanstig;2132;Gävleborgs län;21;Samtliga;Bild;78;28;50;~100;~100;~100;15,1;16,7;14,3;
Nordanstig;2132;Gävleborgs län;21;Kommunal;Bild;69;26;43;~100;~100;~100;15,5;17,0;14,6;
Nordanstig;2132;Gävleborgs län;21;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Nordmaling;2401;Västerbottens län;24;Samtliga;Bild;70;34;36;~100;100,0;~100;12,8;14,0;11,7;
Nordmaling;2401;Västerbottens län;24;Kommunal;Bild;67;32;35;~100;100,0;~100;12,5;13,7;11,5;
Nordmaling;2401;Västerbottens län;24;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Norrköping;0581;Östergötlands län;05;Samtliga;Bild;1 597;802;795;97,6;98,6;96,5;13,3;14,6;12,0;
Norrköping;0581;Östergötlands län;05;Kommunal;Bild;1 200;607;593;97,8;98,8;96,6;13,5;14,8;12,1;
Norrköping;0581;Östergötlands län;05;Enskild;Bild;397;195;202;97,0;~100;..;12,8;14,2;11,4;
Norrtälje;0188;Stockholms län;01;Samtliga;Bild;581;307;274;98,5;~100;..;14,9;16,2;13,4;
Norrtälje;0188;Stockholms län;01;Kommunal;Bild;463;237;226;98,7;~100;~100;14,9;16,4;13,3;
Norrtälje;0188;Stockholms län;01;Enskild;Bild;118;70;48;~100;~100;~100;14,8;15,5;13,7;
Norsjö;2417;Västerbottens län;24;Samtliga;Bild;47;28;19;~100;~100;~100;12,6;14,2;10,3;
Norsjö;2417;Västerbottens län;24;Kommunal;Bild;47;28;19;~100;~100;~100;12,6;14,2;10,3;
Nybro;0881;Kalmar län;08;Samtliga;Bild;197;89;108;94,4;~100;..;12,6;14,4;11,1;
Nybro;0881;Kalmar län;08;Kommunal;Bild;184;86;98;94,0;~100;..;12,6;14,3;11,0;
Nybro;0881;Kalmar län;08;Enskild;Bild;13;..;..;100,0;..;100,0;13,1;..;12,0;
Nykvarn;0140;Stockholms län;01;Samtliga;Bild;182;85;97;100,0;100,0;100,0;14,0;15,5;12,6;
Nykvarn;0140;Stockholms län;01;Kommunal;Bild;182;85;97;100,0;100,0;100,0;14,0;15,5;12,6;
Nyköping;0480;Södermanlands län;04;Samtliga;Bild;648;346;302;98,0;~100;..;13,5;14,7;12,1;
Nyköping;0480;Södermanlands län;04;Kommunal;Bild;462;240;222;97,6;~100;..;13,2;14,5;11,8;
Nyköping;0480;Södermanlands län;04;Enskild;Bild;186;106;80;~100;100,0;~100;14,2;15,4;12,8;
Nynäshamn;0192;Stockholms län;01;Samtliga;Bild;260;121;139;97,7;~100;..;13,4;14,8;12,2;
Nynäshamn;0192;Stockholms län;01;Kommunal;Bild;260;121;139;97,7;~100;..;13,4;14,8;12,2;
Nässjö;0682;Jönköpings län;06;Samtliga;Bild;361;180;181;98,3;~100;~100;12,9;14,4;11,4;
Nässjö;0682;Jönköpings län;06;Kommunal;Bild;361;180;181;98,3;~100;~100;12,9;14,4;11,4;
Ockelbo;2101;Gävleborgs län;21;Samtliga;Bild;53;32;21;~100;~100;~100;13,3;14,3;11,8;
Ockelbo;2101;Gävleborgs län;21;Kommunal;Bild;53;32;21;~100;~100;~100;13,3;14,3;11,8;
Olofström;1060;Blekinge län;10;Samtliga;Bild;131;59;72;~100;~100;~100;12,9;14,6;11,5;
Olofström;1060;Blekinge län;10;Kommunal;Bild;131;59;72;~100;~100;~100;12,9;14,6;11,5;
Orsa;2034;Dalarnas län;20;Samtliga;Bild;69;37;32;100,0;100,0;100,0;13,4;13,7;13,0;
Orsa;2034;Dalarnas län;20;Kommunal;Bild;64;34;30;100,0;100,0;100,0;13,2;13,6;12,8;
Orsa;2034;Dalarnas län;20;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Orust;1421;Västra Götalands län;14;Samtliga;Bild;163;90;73;~100;100,0;~100;15,1;16,6;13,1;
Orust;1421;Västra Götalands län;14;Kommunal;Bild;147;80;67;~100;100,0;~100;14,9;16,7;12,8;
Orust;1421;Västra Götalands län;14;Enskild;Bild;16;..;..;100,0;100,0;..;16,3;16,3;..;
Osby;1273;Skåne län;12;Samtliga;Bild;128;64;64;~100;100,0;~100;13,6;15,5;11,7;
Osby;1273;Skåne län;12;Kommunal;Bild;128;64;64;~100;100,0;~100;13,6;15,5;11,7;
Oskarshamn;0882;Kalmar län;08;Samtliga;Bild;319;141;178;97,5;100,0;95,5;14,0;16,1;12,4;
Oskarshamn;0882;Kalmar län;08;Kommunal;Bild;312;140;172;97,4;100,0;95,3;14,1;16,1;12,4;
Oskarshamn;0882;Kalmar län;08;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Ovanåker;2121;Gävleborgs län;21;Samtliga;Bild;127;57;70;100,0;100,0;100,0;14,8;16,3;13,7;
Ovanåker;2121;Gävleborgs län;21;Kommunal;Bild;127;57;70;100,0;100,0;100,0;14,8;16,3;13,7;
Oxelösund;0481;Södermanlands län;04;Samtliga;Bild;125;53;72;100,0;100,0;100,0;12,6;14,0;11,6;
Oxelösund;0481;Södermanlands län;04;Kommunal;Bild;125;53;72;100,0;100,0;100,0;12,6;14,0;11,6;
Pajala;2521;Norrbottens län;25;Samtliga;Bild;61;27;34;~100;100,0;~100;14,1;16,3;12,4;
Pajala;2521;Norrbottens län;25;Kommunal;Bild;56;26;30;~100;100,0;~100;14,6;16,3;13,0;
Pajala;2521;Norrbottens län;25;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Partille;1402;Västra Götalands län;14;Samtliga;Bild;19;..;..;100,0;..;100,0;15,0;..;13,4;
Partille;1402;Västra Götalands län;14;Kommunal;Bild;.;.;.;.;.;.;.;.;.;
Partille;1402;Västra Götalands län;14;Enskild;Bild;19;..;..;100,0;..;100,0;15,0;..;13,4;
Perstorp;1275;Skåne län;12;Samtliga;Bild;111;52;59;83,8;86,5;81,4;11,5;12,7;10,3;
Perstorp;1275;Skåne län;12;Kommunal;Bild;111;52;59;83,8;86,5;81,4;11,5;12,7;10,3;
Piteå;2581;Norrbottens län;25;Samtliga;Bild;473;233;240;98,5;~100;~100;13,4;15,0;11,9;
Piteå;2581;Norrbottens län;25;Kommunal;Bild;465;230;235;98,5;~100;~100;13,5;15,0;12,0;
Piteå;2581;Norrbottens län;25;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Ragunda;2303;Jämtlands län;23;Samtliga;Bild;56;33;23;~100;100,0;~100;14,3;15,5;12,3;
Ragunda;2303;Jämtlands län;23;Kommunal;Bild;56;33;23;~100;100,0;~100;14,3;15,5;12,3;
Robertsfors;2409;Västerbottens län;24;Samtliga;Bild;76;33;43;100,0;100,0;100,0;14,3;15,2;13,7;
Robertsfors;2409;Västerbottens län;24;Kommunal;Bild;76;33;43;100,0;100,0;100,0;14,3;15,2;13,7;
Ronneby;1081;Blekinge län;10;Samtliga;Bild;393;203;190;92,4;93,6;91,1;12,6;13,7;11,4;
Ronneby;1081;Blekinge län;10;Kommunal;Bild;326;167;159;93,3;94,6;91,8;12,8;14,0;11,4;
Ronneby;1081;Blekinge län;10;Enskild;Bild;67;36;31;88,1;~100;~100;11,6;12,2;11,0;
Rättvik;2031;Dalarnas län;20;Samtliga;Bild;103;52;51;~100;100,0;~100;12,8;13,4;12,1;
Rättvik;2031;Dalarnas län;20;Kommunal;Bild;103;52;51;~100;100,0;~100;12,8;13,4;12,1;
Sala;1981;Västmanlands län;19;Samtliga;Bild;247;111;136;96,8;~100;..;13,6;15,0;12,4;
Sala;1981;Västmanlands län;19;Kommunal;Bild;247;111;136;96,8;~100;..;13,6;15,0;12,4;
Salem;0128;Stockholms län;01;Samtliga;Bild;217;103;114;97,7;~100;~100;14,8;16,0;13,6;
